pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,n_possible_contradictions,contradiction_poss_contradiction_ratio,average_time_pair,workers_contradicting,workers_not_contradicting,"('afforded_usual', 'unusual')","('typical_of_concept', 'unusual')","('implied_category', 'unusual')",annotations_with_contradiction,"('typical_of_property', 'unusual')","('impossible', 'typical_of_concept')","('impossible', 'typical_of_property')","('affording_activity', 'unusual')","('implied_category', 'impossible')","('affording_activity', 'impossible')","('afforded_usual', 'impossible')"
roll-lamp,50,5,12,4,0.8,0.24,40,0.3,85.33538000000001,5acb5910e1546900019c413a 5d3f14f66a8a4e0018c17ed9 banking University student,5c5758e9efe1550001dc31b6,,2.0,3.0,14618212-b032-4720-b1f4-4a74f4a3e82c 1485208a-a56c-4d61-8c16-ebf859f8313c af846e8e-50c3-4c8a-96fb-86db41c5ca14 3550ef1a-36d0-4f79-be54-94b9569b503c ee65a973-327b-4ebc-b0e6-68f74fe75e6a 63f8d368-701e-430b-96e3-6501644d3234 b281f0cf-e4e8-4226-85f9-239fee280e9f d02105cc-65aa-496a-bfb2-536fa3227100 726a6e76-1fe8-4aee-9237-97c53caa62e1 26592a54-f457-4037-ac72-16034407cd01 41592b96-5d00-42bb-ad90-4c1a9c563d7c a6b99d33-5eb2-4422-a5ca-91cfbe22a6db 42087ac2-4c1f-4124-91f8-285b2e029a81 c2d96785-b343-4a39-aa46-5946420b4917 7c9d1026-c48f-4563-a4e5-d2808e2ce074 ebaaa584-5199-4d96-9f37-be461e4ed423 501658a1-7f32-4eaa-af69-6d381e08a58d d8c8d59f-6e6a-40de-8e60-f35a66f2a5d8 2341d23d-dd52-481c-8fac-677e8e5e9359 de1cb029-ab69-4fec-9f82-ef1c6e05c9a4 a47cc1bc-9968-4e5d-a3ea-dcd06ffb8ee0 b3ef1c4f-d24f-48d4-be69-99ee747c546e bff77f61-6d41-47cf-95f4-3e52814f7410 63fae149-f6ea-4d8b-af5e-3ee24ed8a0d8 4c165a30-2ffe-4387-995b-b0bf4f170996 add5fb69-5f7c-43bd-a22f-4e7d5e50b0a2 744aa40e-24a6-48c9-8845-048d7cf92e81 19ded770-f336-4aa7-a29d-5d38ff435cb3 f044cc77-709f-47db-9474-0b8f591ab857 1a89c171-2bd4-4e3e-b2c0-117f95b617ff 9a7cdac5-7ce1-4717-b54a-bd4d03c96719 92802a3a-f1d8-44a7-8a65-f5b6a73db8cd 735298a0-2e75-42a0-a0bd-8592e153ac77 065f6826-7e6e-48da-99b8-78db4e251f38 790b8e44-bf04-4332-8eec-dac765d32a8d 08e87226-bec9-4a6d-93a5-5d647a0e944c 521970ed-e21e-443b-af43-1aedb6d081d7 f0b37dc3-b6e6-4f8e-8761-81b3ba17b08c 06b8bb61-06dd-40b2-94b8-609f270ad373 f7062bb3-b34c-4c15-956d-c323c5feb968,1.0,2.0,2.0,,1.0,,1.0
round-marzipan,50,5,16,4,0.8,0.32,40,0.4,85.33538000000001,5c5758e9efe1550001dc31b6 5d3f14f66a8a4e0018c17ed9 banking University student,5acb5910e1546900019c413a,,2.0,4.0,871bdc41-ca84-46dc-9b74-a6797da6a37e 6d1a4167-b0de-4df4-9dab-3266bea10901 6203b7ca-4069-4f76-a4f1-9a5e8f8f8b7f aca6f4eb-679f-48f1-b8a7-bba1946eb85f 4a2be813-b365-4fa7-b4ba-84f78601a01e 57064216-3655-4259-8760-3868f32ebf38 bd765c7d-ef7a-414e-b7f8-c4dde44785a4 c814fc0f-aa9c-45bd-9014-158225661dd0 c5f82700-9c53-486d-8dc3-f2a507e7577a fc58adc3-c1ea-4b81-b3f2-26b26b595900 14497741-2a29-4870-8ef3-b2f7b7323866 e998c4fd-b521-4fcb-8e0d-a4c04d23099c 87f226f7-b5d9-4fb2-9a0d-5e901f799a5a cd9f5039-2ff0-46a3-bd29-329139e9d709 155b6ff2-5dca-4616-a152-1640d7d8f86d a6fb01f3-31a7-49ea-b6dd-4e4b163144ba e5c28d03-ab52-430c-b419-7a2f379ad857 83ceb852-c56e-437a-9f27-26ba15d3939b a60e205a-3094-486c-a1ed-8adced57db24 15b72465-e5f8-4982-b436-afad6d566c2a 606c07fc-1cdd-4914-aeab-3823aee053a4 50933456-fc30-466c-b7b0-0eb4b5c48129 a915916e-f3e6-4a2f-a7d5-954f319dacb2 0ec5edc4-8f16-4432-af31-481837734831 b0157b30-d307-49c2-88bd-026a9db02d46 43d04de2-8692-44d7-8215-9332534154f5 bbc0dfd8-118b-4fef-9257-163a3845f6d0 62117ce6-bb47-4815-942f-d6ea56707868 85fab138-237c-4541-a89e-0c66d716a54a fd92c5e4-5ab6-4710-bfca-85a3b5380697 8a7e27ba-d732-47b5-9ff0-80cd899b54a5 a93be932-e398-48f6-a21e-676382f1953f c8b50b35-30c6-4300-aa40-861b1b35a4fd b868dd55-2c6c-441e-8f93-a837a6c8204d 549c3ca9-b24d-4ce0-9578-20a365948b5e 8e29ba3c-3c2f-4c72-9f6e-e65609351832 757df7d2-0aa9-4dcf-88a8-c90053ca2b12 5629f4df-bfa2-4be6-b344-2b30e56fc00b a8faede6-a94b-4791-a331-4ae0ca89b96e 8999c308-7f9f-4591-8f2d-83d363cc732f,4.0,1.0,2.0,1.0,2.0,,
red-flame,50,5,11,4,0.8,0.22,40,0.275,44.86628,5bb202b18aba5700017f36f6 5cd94cb10196990019dbcb09 5d1cf9681118d600011be7ff 5de79de25feb6e705b799e45,57a25e691602010001041ab1,,3.0,4.0,d84ddc78-48ac-4860-9d2b-63202e7f9468 17ace216-9471-4d84-bf9f-3141b6b64324 07c3ba6b-544f-4393-9194-a81c66eb3cee b517290c-5d64-4acb-9661-bf6265684c79 cdc9469b-e14b-41b2-add3-1d93675eacef 20fbdbd7-953a-4528-b257-b4be213e3817 e61c6a45-27a9-48ee-ac1a-82c4e7a4a650 a1080e56-9044-4f55-a723-1e09d4a6afdb 6d86e2d1-58a7-45d9-b1cc-d21ffdaf641d c907f75a-d4c9-4f92-bfe2-091f072edf36 0440f058-7ed2-4b8d-b7bd-f832050954f1 d9984a8b-0712-400f-b4d2-7eb65168ae1c 41cdcd3d-a8e1-4e2a-a6fc-2efb18573072 600eb545-9f18-4ce1-b419-adea1ef70767 f3affcb7-5974-4c45-a198-a24b557a6485 d20c0add-f7f1-4e11-b7fc-ad670e561f99 d23242ee-2740-4e09-81e1-73fa38071393 a84d6701-8457-49f1-904b-af5bc5322e3a 0c21fc2e-9d06-45c7-8ca8-e91eff8b88c3 4de9a29c-4d02-49ad-87f4-b521a69605e7 22e09ce3-1415-4802-bbc7-d7528e936e44 14e9873d-20a5-4b84-9086-0c5afd364ffb 472d7294-5fad-423f-9492-e5b5b68e777a 07e916da-a8bb-4096-b39d-c1c9fbf5baa2 a6ca9f53-6264-4b09-8e46-c314f31d8319 f02bb075-1ffc-4dd4-ba9a-19f11e99017f e511ea4e-df35-43b4-9149-4482e610a1ca 9b459192-f2e8-40bd-bcc4-9cf80094ff46 269ee154-db0d-4d80-aad7-7482941ca55c 0f24a12b-e132-4a3c-9706-a8c7d1e066f1 c874bd4a-4189-4a4b-bd8e-080716855f4e 656f4b82-2c12-42e5-aef8-ecda075878eb e12ad440-7ac2-41c4-9916-87b149c1ea60 f38df344-0ffe-4e19-bc89-2b2bfa16c424 902d831a-6b2d-4ecc-8dd6-b2d29ebc6737 53899378-e2d1-47f1-80aa-eed555a8a37c 69b5eec8-128f-4ba6-a615-2e10f1a13038 be357370-02c9-4584-9824-0a271b82a9a1 384627c6-9e6a-4254-be5e-33d8a1e88b12 28bfd8da-a043-4cbb-82e2-bc6afb243659,2.0,,,2.0,,,
roll-pipe,50,5,14,4,0.8,0.28,40,0.35,57.71166000000001,5dc0395f2a1dd64710661ccd 5ddc56fbf290e7bbfa96481d 5de6be6912bcf6041b3276ba 5de8576d4f21b47d008d37c7,5de6d199a23d79000bf9aef9,4.0,3.0,3.0,f076fd8f-6d5f-42e9-907b-5c6ae8a7896e 2cc557ce-d3e4-48da-bfa4-357c28b9cc3f 569ff3e5-6adb-4d81-ba8e-f090a936efd7 4829630e-4a58-4cf5-bddf-52ee6b0bd5a0 f22577b9-ce8e-4abe-ba31-ef689e01600f 7b3b2b5c-7796-4931-9728-e0385b7145eb 28824dc8-2c7c-4b54-a7ca-2d6298b167a2 745e8341-1178-4dc8-9f83-65e11b2324c6 b8870e7e-3db2-40c0-9919-802c9402af80 69477322-d281-4591-97b0-378dd943b97a 6a2bf897-8cee-4e95-b392-db7ac21e14eb 5279a576-8eea-4c3d-9c01-a0318676575c 70596df4-6dca-4ccd-9961-70d347749826 c69564c7-b77a-4d40-a778-3045acc99aa6 64cb5284-39b0-4c0a-8eaa-66278cc70b42 b2353184-88d8-449b-9211-1c3e032a7b23 2bfb1861-7663-46dd-a73b-da87cccaf5d7 ec25a42e-88c6-43fc-9e7f-653b49ef870d 43dfc6d5-ab60-4481-8a30-07f718bd9666 691f386e-35c2-4a90-9924-19082961f553 2a534f2b-d120-4b6f-90c9-5c0a55dd9e05 566289cc-24d3-4f3f-bd3f-29208346d1e3 769201ce-3995-40ba-9eca-c2dcdf31bf08 f0961c10-bb31-49bf-8edb-baa95554381f d1745f4f-77bf-4a52-90ea-ef21a0ef64fe e611c604-29ac-4212-b177-087dd1dee94e dedced51-d39d-48d1-bb6d-09604daaf4fb 379c511c-98d3-4be9-8739-58ad55c825bd 3305014e-242d-4207-8945-1c03a6519bda f8ce39b8-5bad-4131-9681-4fee873da7e7 111a0c8b-e461-4bf5-8542-0776dfe9f482 c4202465-9325-4bb8-97ac-033c142ebfa6 4f2cfb38-8741-4990-b995-aa9e1f03ea2e 5479d54b-7a72-4470-9072-c789fd42fcdc 6f124e32-f0a0-4d32-be3a-def691cd9d56 d70fe58e-5495-4c94-92ff-e9aa8636bfd2 8d948f16-9100-4477-a5bb-6f27290f4a96 ed4efa47-0afb-4bc0-9e77-ca53b64df1cb 1d7542e4-65b9-47aa-a5b2-5bcdc770822c e37be4ac-d31d-49f7-890f-069f670fa3e6,3.0,,,,,,1.0
red-mentzelia,50,5,16,4,0.8,0.32,40,0.4,72.65796,5b994a6d700b020001c572e2 5d134f52f1341200164f90e4 5de4e06be4f42a477cdbb682 5c4e3248ad466000019166df,5bce0e9e48473300014cafca,,3.0,2.0,ec8169ff-22bc-4df6-9973-2c81080ce12a 40581b7f-f62f-409a-8ba9-8491d37e2c51 69365a09-305c-4b86-b173-5cf53c6103a3 95fe73d2-ee4d-427f-9095-be304a74c06e ef10346b-95db-43af-a62b-4ab84e200196 cde08119-c31b-41f9-8eb5-912fca4c60f1 92ca6a76-9e04-45aa-af7a-ca9985f3bae2 d55a5462-f207-4497-a78a-6e97299ec116 15c2d640-facf-41ec-9b33-751bf6f3febd 852744ee-83db-4e56-98b0-5211a00f036b e43b9b23-310d-43a5-b4a9-d22052df2609 feaefeb2-d551-4ef0-856c-04a993110c27 343a11e1-24c1-429e-aaf3-db87959baf4a cfaf677e-d28a-4049-949c-679d8eaf86f6 3502dfea-d801-4a28-8a52-9288ff568a40 f2568064-054d-4b6c-ad29-42995b79f624 2f64439e-7753-4d3b-bf3a-e73f94f7b408 f0e208cc-24c1-48ff-b3c8-015671de8eac cdaca987-c315-464f-a764-b08b4d5efb4e 4a0e78b0-c89a-49b2-be0a-4b37fdb42a49 321dded0-c82d-4000-940d-58be81740327 a81a94f4-1c61-4c74-adf3-7db2f25785ed a5da76ef-f1b9-4617-a283-d45ad0a72c3e 9796633c-983c-4a6a-8d27-2381add4a1bb c6369674-048e-42f3-b9a1-a3d8494f7f4b 7f132856-757b-4dd9-b652-21155108f716 12a320b3-d721-40ea-ac4e-70cbdc0fbf71 7c08804f-e6c4-4d0c-9011-51945261e860 28981dde-6ee8-470d-8a83-398f7ab655cd 12ce29a4-ab37-4bf5-8c7d-320c6473af72 c82138a3-3f84-4844-82eb-2c8207c8afd8 f9ee9f0c-83dc-4108-aaab-216b874425f3 6a6f2b2b-1e38-4adb-b6c4-d3e98fed6458 7195cedd-c744-4f46-b6ef-bf23bc608061 daeca63a-30be-46c8-bb73-3a317844f287 1776069f-ecbe-42fc-9eef-a49912080d56 121bcf6e-16b5-4cf7-aaf1-6c1b5974633e 07332c35-99a2-41a5-8db2-694a2e86412a 49991f03-e767-4d0e-b2ab-cfc92580fac3 bafb29a8-c773-4a94-b9ce-233d55069fa1,3.0,2.0,1.0,3.0,1.0,1.0,
round-soup,50,5,10,4,0.8,0.2,40,0.25,72.65796,5b994a6d700b020001c572e2 5d134f52f1341200164f90e4 5de4e06be4f42a477cdbb682 5c4e3248ad466000019166df,5bce0e9e48473300014cafca,,2.0,3.0,bbf15563-c1ea-475c-a240-9f80a4cb65f9 89295868-3e47-42b7-9936-18730a364cb6 8df2c18d-e360-49ea-b5d0-d268bbd4214b ebfe74d0-e222-4609-bb74-c029d5a6df9a 53cf6cdc-4210-4631-9eda-31202a097fca 2b38b143-1578-450f-9095-072c3fabaa48 a549ab6c-1629-4b47-80cd-9742f7ca8bbc 9aab08c0-8193-4f42-afa2-ce29b3fc91b2 e7629249-32ef-49bb-882e-fba3492c00e7 afdbf772-1096-42b1-b88f-b6a567a42a76 63fd004d-dc58-4541-a82d-c11c041d8916 67c622b2-48cd-4857-889b-25236d988b33 ea9632bb-a1cd-48e8-93b3-31f07e424ad4 60f78aa7-6de9-4ad8-a12c-150d452e2721 8be26fa1-d250-4e92-b72d-f0abca049b30 8bf06f0f-9786-437e-a5c1-b3099d1e52d0 ac5323d3-4592-496b-a34a-490e04ac4728 220adda6-6651-4ec8-b012-df720a54101c a69ae84d-0ce0-45ef-a9c6-3ca6eafce4c8 f0eccf2d-3a47-4c79-93a4-83c7a1426fc8 08e8841b-1161-4e29-bbca-362d8f8f5eaf b161f242-8e67-4528-9caf-acc54dc627f9 80339a79-4110-4132-8bb6-31343d11ce10 7563b918-66b4-458a-8e06-64fb1af35d4f ed3ad79a-0b2e-473c-a02b-a73767ea7a88 1f06a638-610a-467e-9287-ff345008cd8b 7850362b-bc15-43d8-994d-489c1115d583 db1bc117-3a2f-4393-a76e-851804824c41 93206178-a1a5-4c9c-bfe4-6eb9e3c7c83b 5ebbde85-1cb7-404e-9b91-da3a8b581586 0dfda1e3-fc9c-448a-9ee7-4302af74cb3d f368e7d6-02d2-4d52-b0be-7ef1ad93e20a c5398bea-e65a-4b6b-bcd7-0cb2df026b8a f98a0030-0c41-48be-9d5f-f32b3004d985 2c9a5e35-5ee6-4b40-a6e1-07895c6d45f8 c668e02c-3932-452e-bbd9-d6966de37786 78c1b2e7-f97b-4c6a-9ccc-6d4458b78f8d 98fc88c1-4635-462f-a2e9-4925df56485c 19807ad5-e293-4112-9e7e-a78b7df6b583 1dd4c9d1-6f87-43be-8838-b664ee5ef946,2.0,1.0,1.0,1.0,,,
red-carnation,50,5,12,4,0.8,0.24,40,0.3,83.61663999999999,599aca876b939900012da2cd 5af478d820299700016d0748 5c8119441c40f30001b464b1 5d5eb70caf0eac00178c1a02,55887149fdf99b5a49c225e3,,2.0,3.0,0e0762b1-b47d-487b-8950-cc7fc870cf4b b55c4961-480f-4b68-bc58-fa8be046338f c047a84e-25f5-421d-843d-ff439ae34629 b39354c1-89e2-4c22-b120-27088080c9f3 0704ffde-8adc-40e2-aeee-2af74f837070 f7c52c1f-2bd8-4311-a9ae-16635135c19e 9d67ea00-5854-4199-91dc-60fc1121eece df85d388-28dd-4143-9d1c-0c86ee8bb871 6b1471d3-27ad-47bf-896d-2f1d674b1597 4c911434-209d-4d10-9188-36ac22a617fd d650ffe1-2b42-48a4-b837-b81de5f011db 0b5c8b03-3f7e-4bdc-8a79-c4c7f798e0d7 ceb04d50-b20f-44e7-a5cd-5e056a69c49f 38cf2699-ec75-4396-9a44-d2ee56162b48 d2e564c3-1ceb-42a7-8046-d26377ba2970 4a4a5f5a-17e3-4c08-90c4-b50bd5b4697d 29f2d3b5-92d7-4d4a-af1f-c29f3f01eb51 2393de5b-65fa-46d0-8e56-5f556107262c 622de6e0-7307-4078-b828-63347659c8a6 b545066b-0355-43f3-870e-9f8470bae956 a033c738-fd63-428b-9d5c-95251721c313 e650e1dc-ce29-415b-b004-9fa0bfb5bfba c7e2da59-0d23-4270-9a3b-7a25a5f059ad b649920c-7322-4fc9-a240-388c0ced9335 a7695b65-6515-479e-9f13-0ffaa5fc9390 4a075c77-2bcf-471c-8f77-5b75ca61993f f680c83a-da57-4f7d-94d2-aaca1b147839 432b9eef-7523-4083-955e-3b21d0274c43 5027c420-34ad-4bc4-a1ee-a9e930b3d9fa 61ee400e-c3b0-4358-ac1c-463e7db3b716 6451bf58-778f-4b2e-9057-ff5d953f1f4c 0a56573e-1624-4519-a509-36af6954f803 28d23eda-ea9c-4588-b485-91f6aeebf002 cda22c85-5607-497d-912b-ae75dc726218 5be37a7f-cbc2-49e0-a3d7-f46518f25a8b ffafe0d7-2cb1-4f8f-a49e-77438323326c f741d180-2edb-4554-8997-afea3e61afaa e969505b-020e-47bb-8f59-ab113462535c 39349da9-5177-44d3-925a-71cf367d718e beb2434d-09b9-44cb-975c-f9db6caab889,4.0,,,3.0,,,
round-dough,50,5,10,4,0.8,0.2,40,0.25,42.04644,5b99872a357ce300014f2099 5c743796a87fd9001287f48b 5de2515f676a6d286c48fb2c 5de294e8c3bd282be968e7ab,5de28ced693f222c2f347507,,4.0,4.0,cb211ba2-15fe-4c8b-8e1b-1fc540898fcd 21b9a265-eef6-4743-88dc-fbb57abfe976 2b0c9ec4-618f-4fb5-a983-a126007f9660 a8296553-03e9-4f2c-99f4-984926aab7b9 3960fc7d-1e47-4c0c-b81e-a6cb4b83cf18 09007cf4-c8d7-4fbb-998f-9269a6faaad4 615c991a-781c-47fc-8d71-faecbb23ae20 a3bb41dc-400b-4de0-8df4-d955041d244e 8f58aa6e-9dfe-4a74-8f22-d60e155c643c 3d5f29f5-55b8-464c-ab27-8be5f4553ef4 8d51ca75-4c4c-4793-b2a6-bb023a08f7f4 f5ddbf08-6bf3-4462-8cc2-693a23da5e66 135ce3f8-1aee-4f08-bc1e-b06a0502d5a4 fb4caedf-b9f2-4ff1-837a-cb87848bb6b0 e406652f-1f8b-457b-8e4b-293e112b51a4 98feba82-1be3-43ea-a8dc-6227e98624bf 6e6168e5-1399-4a80-8488-1824580fa35a 502eb55b-cfb1-46c2-bfdb-fa423f88b9e3 c237da9f-5b2a-496d-a8e7-8ce04f0b356c 35ac74c5-d9bd-450f-a42c-0177d0692f9a ce4f460d-6ac7-4b18-9e19-61deae7cd5e0 cdef1440-c715-46ea-8442-76adccffc8d5 02298926-1323-45ef-bdba-a9b701edc428 9f038047-5197-4de2-a2f3-95f58af999c3 9e3690b9-8621-4b00-89b3-4846ff303518 a75718d7-cf8c-4bba-819b-7225dcfadd6a 5afebd59-f077-4384-82d3-5381643cacea e1a4b7ef-adcc-47f8-acb5-5c02fa64e040 3b0063a0-2d5f-4a40-af38-6187f8e3161d 1c822870-bee5-4ecf-a184-4ddbbb9e8778 9026c44f-b840-46f7-8a35-59e9e59467dd bb820b26-1e53-4137-9a8a-12fe8d795771 330e0b66-c7ca-4fff-847b-b1fac86d3558 25181c93-ba84-44b9-9fb7-52a15476877b 92fbc7f4-a1d8-4333-a1f9-e17a9a5b0c85 359c97ab-fb65-49d0-8add-6b7361507f07 40b69053-2a73-4efc-ab26-8f17f776a9ee 1091bd05-09a8-4b99-a4f8-75f03194223f f3a8ddec-51d3-4c05-96a0-5d3943f2e3f6 28813851-355a-44e3-a953-8e659fe17112,2.0,,,,,,
red-cockroach,50,5,10,4,0.8,0.2,40,0.25,42.04644,5b99872a357ce300014f2099 5de2515f676a6d286c48fb2c 5de28ced693f222c2f347507 5de294e8c3bd282be968e7ab,5c743796a87fd9001287f48b,,4.0,3.0,0612ff30-691e-4c8e-8349-6a8d85df0d32 694ce386-e2e7-4974-ba12-ad292e9a9f72 ab4e9400-9e23-4463-8120-e4a314131676 12d02d9f-24c3-42a7-bd3b-75bcc2bea6c3 f76f5cf8-e3cc-4cc0-bfdd-842e60ff81b5 9b356dae-1358-4629-b862-887ccd408717 34f3993a-784c-463f-8f3b-0bf84dc8b83b 61e06834-ba8b-4ee3-b9f6-53ebfe5856df 280cb1a4-7bf3-4422-adda-1ea25ed39315 1595bb38-d908-4349-93c3-a1961cbe464e 59a4c030-2459-4c6d-8ede-8ba5a9521c72 903e6cc8-9f70-49bb-ba27-6b277c42d2e9 5a338e31-805b-4da2-bce6-bff57dc41932 7509cb64-1b61-425d-85f2-39681048779d c25df589-c5da-475b-856e-bed75cc4d5c0 10db3193-5aba-41a4-ba3b-daef11daa4e1 25bd4110-d920-48d8-83dd-dba046d6c960 fe5a9488-a7c7-4167-86e2-42b52ae54075 3d8b3f6b-38f5-49db-b8bb-090d28a1dee8 5347d228-8d5a-4196-9767-67b741b59759 e29b773e-b42b-403a-a19b-b9886c2ca9d3 85b2ab7c-dd6a-4e58-b9b2-f54ce60af333 e9bf4900-c2c0-4b05-baa9-bdcba42db3f2 b123b938-f07c-42ce-b30b-78f2fbea8628 afb4672d-8b95-4e80-b675-8c3911dc1290 b6262b93-3a42-484c-8dfe-1816cced92a3 ddc8909e-285f-4232-93a9-ac0621478256 cf5fe0d2-b9ec-4a49-8dfb-544164b33c50 e26df4fb-49ee-40d9-8933-9282f59e5f87 9cb03552-b5fb-4f17-9206-347a820faa3b 1dfd1b71-709e-413d-b5c7-3cf9789c18a1 06f1f19f-1699-4a51-8b22-ee5afa75734c 13d6d3dd-4b3a-488d-ba2c-38aec9dfdcae b8e2ec49-f1cd-491e-b18b-992429fcd920 cf02d9f3-a161-442a-a2f7-b1bfd5785894 d8ef3b61-d63f-4892-a296-96b74b18d5e5 2e7256d7-f273-4a1f-86ba-b5950408a1a5 16d34e8a-bae0-4cc3-849c-1d4616c60773 b73d9874-2711-40c8-a557-b61f2c3476f7 5d399889-8770-41a8-a28c-d6a7e203b68a,2.0,,,1.0,,,
round-cherry,50,5,15,4,0.8,0.3,40,0.375,24.65336,5aeaf8170a90530001bed0a2 5c609050808997000178ad7a 5ddd1a65798297c76102df27 5ddd4e1144840502f8c3dfcd,Francesco,,4.0,4.0,577c72c9-ae07-41bc-936d-cb723ad8f203 81c1bcea-ec8a-4cb0-8103-b599878fa535 eb14fb85-cbb4-4f4e-9734-dc5bc22670c8 5b04e0d5-3795-43e4-b2ed-0c9210f2ea17 eac19773-0004-4a73-82aa-6226a4c5ac08 474393ad-730a-47e4-a127-4d181ac05ee1 cc80e6f9-5e79-4a94-9a4a-6ab92ce31193 e1ea0fe2-3db3-4594-a1a3-ab1ffa782a12 65927cb6-bdb2-4280-b3d9-e7be2aa8523a 5b536bc4-29b7-4f84-80d2-5c4cea2d77e1 bb874236-409f-4a67-a136-e32557bf9b7e 22ab5aff-6d7c-45ee-adda-6dc29d21cc00 6f98fb65-6d31-4aa8-84d3-82d632643bd6 29c00ccf-8b7d-4286-8a89-8bd9a5827827 04e55f39-882f-4eec-ac32-4543491c7c1c 0ac47a00-2c4c-4427-8a18-8e960337606a 778b6d26-9d61-47a7-b20f-12c0113d4000 66a52375-dcc4-4f79-9d3a-3f10902d4ece ad3b1cf3-bdba-4556-a303-0911b2d1a233 a3f8b358-6ee6-4e81-868f-9702f654df37 59633ba3-75af-410b-80c1-0eaae0e0c335 75bbff62-ce85-49f7-a1e0-a13d75650217 f6ceb551-3ad0-439c-8b14-3d560e6b3e39 f6a86255-b364-4113-bc0c-def5cd120020 80659ae4-9267-49f4-b8f3-f3e27ea747bf b0714a83-35b3-41fb-8be4-3f124b12bf07 f8daf672-42eb-4829-8fc9-1245e5a36c97 94d7aa20-7070-45cf-a47f-496c921759de 36287d3f-6ef5-4c74-90fb-d479e46bfda2 4b59baa2-1818-4f20-80b8-fd3ee634c494 8fbf986c-5654-45b2-bae8-149338be7387 e82eab2d-f1ec-4599-8ee0-2254d78b3a23 c238f89b-216b-42a2-a831-eccce802fba5 b5fade89-344a-4331-84fe-e135407fc8ad dbd94e51-1c0b-4ed8-b51d-32b3cdbae9be 372241ff-4503-48c3-94d8-417c1462b696 695dd426-7c54-40c4-b0f2-2b3344f2d05b 5f84fbad-4e19-4530-a263-788620d5b3cc 1762d673-4ee9-4934-b34a-69a883d85e30 0ffbb34a-3ef8-42e8-ae83-0fb0b31d1061,3.0,1.0,1.0,1.0,1.0,,
round-donut,50,5,12,3,0.6,0.24,40,0.3,83.61663999999999,599aca876b939900012da2cd 5af478d820299700016d0748 5c8119441c40f30001b464b1,55887149fdf99b5a49c225e3 5d5eb70caf0eac00178c1a02,,3.0,3.0,62a81115-73d7-474c-9c29-f27d94c19566 34a52373-2434-4dee-b4ad-8e5c281c67f2 ad9e876c-eba3-4f55-ae45-6fac1013b077 e7ef0e86-c643-4fb4-9767-50825111a892 c0d0edad-b62a-4d23-9c5e-6d46e28503ca 2ebc92ef-15ea-4539-b92d-1d47c5c499bb 64ecc598-df5e-462a-b1e3-128ca6b859f1 d7e6abd1-872f-4286-8963-9f62049927d7 f170cc5f-91dc-42dc-8469-1e29b7121793 8a05e6f6-de15-4675-9913-fe696c80d28a b36b774d-3168-42c9-a2d7-9bba6f93d2ef 734c42bb-3ee1-4036-8d87-c96a8adeff9e 49b4e08d-550f-4fe1-9182-445c7caf8b58 b1070828-60f7-4c21-96ed-9306603ad0a0 51a131da-f0c4-4965-a435-bed4713f022d 9327f842-e370-4192-9e9d-cea545d82abc 4b7fbe05-2400-46e6-8df0-ca306405e864 9f25fbbe-a402-4f1f-baf5-59b843ec62d2 0670db06-5be4-4e89-aa51-75e11b4cfda1 15fa84be-6817-4e97-9210-6f97da670de3 6f3c3f42-490d-4270-9b53-42bd8e60755c bff6a48a-06f8-469c-b81a-0495df6dd7c0 3a33a7ff-8b9a-475b-aad0-97a961a21d2a 96628f95-b28d-4edc-b541-7490c395974d 03cd65aa-dea0-4450-aa63-e6ee04921b7d 9129640b-10c4-4628-b87d-13f5930d61c9 b7f6a039-cbe5-48f9-b8d6-faf08d136513 a16bf3ba-6a3c-48a2-8995-b6f4cec29324 2c136e66-3781-4794-acae-5db72451b947 42387c76-5818-40df-ad71-044aa0f401cd,3.0,,,3.0,,,
